dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH1_initK5_lr10.0073_lr20.0004_h100_ks40_202605061210,,10x10000x5,10,10000,2054.6,56.9389146366525,2785.9832459688187,46.58774694693191
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH1_initK5_lr10.0073_lr20.0004_h100_ks40_202605071049,,10x10000x5,10,10000,2202.9,51.04204149522235,3617.706158399582,58.75367498229326
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH2_initK5_lr10.0073_lr20.0004_h100_ks40_202605071349,,10x10000x5,10,10000,2059.8,45.39339158952546,4123.693443346024,83.15392127886274
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_lr10.0073_lr20.0004_h100_ks40_202603280034,,10x10000x5,10,10000,2054.6,56.9389146366525,2083.3418373823165,102.50315470346959
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k20_lr10.0073_lr20.0004_h100_ks40_202603262118,,10x10000x5,10,10000,3122.5,75.21602222930963,3338.1679888248445,23.40001580446891
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k5_lr10.0073_lr20.0004_h100_ks40_202603262118,,10x10000x5,10,10000,1253.1,26.744906057041966,3284.2481268882752,10.964901632828793
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601252056,,10x10000x5,10,10000,2862.0,61.603571325045756,3227.8222001791,65.35751863584262
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601252259,,10x10000x5,10,10000,2074.0,56.10347582815168,4700.706354212761,57.47825334560236
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601260241,,10x10000x5,10,10000,2137.4,51.196093600977015,3066.729102778435,580.0934725395726
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601270125,,10x10000x5,10,10000,2665.8,61.21568426473725,3987.214973306656,631.3947175736175
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601271453,,10x10000x5,10,10000,2665.8,61.21568426473725,3239.148714566231,70.6976455708993
