path,entry_type,category,dataset,method,T,alpha,param,created,has_final_results,file_count,total_bytes,notes
results/baselines_new/plots/Amazon_regret.png,plot_file,plot,,,,,,,False,1,160383,png
results/baselines_new/plots/Facebook_regret.png,plot_file,plot,,,,,,,False,1,146169,png
results/baselines_new/plots/GrQc_regret.png,plot_file,plot,,,,,,,False,1,147483,png
results/baselines_new/plots/MovieLens_regret.png,plot_file,plot,,,,,,,False,1,167599,png
results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601252056,online_run_dir,paper_candidate,Amazon_fashion,FastPRB,5000,0.85,eps0.000125,202601252056,True,2,2000304,
results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601260241,online_run_dir,paper_candidate,Amazon_fashion,FastPRB,5000,0.85,eps0.000125,202601260241,True,2,2000303,
results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601261331,online_run_dir,paper_candidate,Amazon_fashion,FastPRB,5000,0.85,eps0.000125,202601261331,True,2,2000304,
results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601291452,online_run_dir,paper_candidate,Amazon_fashion,FastPRB,5000,0.85,eps0.000125,202601291452,True,12,2017584,
results/online_link_prediction/Amazon_fashion_FastPRB_alpha0.85_eps0.000125_T5000_lr10.1_lr20.01_202601291742,online_run_dir,paper_candidate,Amazon_fashion,FastPRB,5000,0.85,eps0.000125,202601291742,True,12,2017584,
results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601252116,online_run_dir,paper_candidate,Amazon_fashion,PRB,5000,0.85,powT50,202601252116,True,2,2000294,
results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601260241,online_run_dir,paper_candidate,Amazon_fashion,PRB,5000,0.85,powT50,202601260241,True,2,2000293,
results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601261332,online_run_dir,paper_candidate,Amazon_fashion,PRB,5000,0.85,powT50,202601261332,True,2,2000294,
results/online_link_prediction/Amazon_fashion_PRB_alpha0.85_powT50_T5000_lr10.1_lr20.01_202601291452,online_run_dir,paper_candidate,Amazon_fashion,PRB,5000,0.85,powT50,202601291452,True,12,2017574,
results/online_link_prediction/Collab_FastPRB_alpha0.6_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329,online_run_dir,ablation_alpha,Collab,FastPRB,5000,0.6,eps4.24e-06,202601282329,True,12,2017577,
results/online_link_prediction/Collab_FastPRB_alpha0.7_eps4.24e-06_T5000_lr10.01_lr20.004_202601282329,online_run_dir,ablation_alpha,Collab,FastPRB,5000,0.7,eps4.24e-06,202601282329,True,12,2017577,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262127,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202603262127,True,12,2017617,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262321,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202603262321,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202603301915,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_202601291248,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202601291248,True,12,2017578,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_202601291520,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202601291520,True,12,2017578,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.000424_T5000_lr10.01_lr20.004_h100_ks40_202603262012,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.000424,202603262012,True,12,2017608,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262127,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603262127,True,12,2017616,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262321,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603262321,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271152,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603271152,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271326,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603271326,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603271327,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603271327,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603301915,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_lr10.01_lr20.004_202601291249,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202601291249,True,12,2017577,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.00424_T5000_lr10.01_lr20.004_h100_ks40_202603262012,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.00424,202603262012,True,12,2017607,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262126,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603262126,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262208,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603262208,True,12,2017615,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262244,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603262244,False,0,0,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603262252,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603262252,True,12,2017614,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603301915,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603301915,True,12,2017614,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_k10_lr10.01_lr20.004_h100_ks40_202603311341,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202603311341,True,12,2017614,
results/online_link_prediction/Collab_FastPRB_alpha0.85_eps0.0424_T5000_lr10.01_lr20.004_202601291249,online_run_dir,ablation_eps,Collab,FastPRB,5000,0.85,eps0.0424,202601291249,True,12,2017576,
